,Year_Month,Temperature_Day,temperatures_Night,Pressure,Wind Speed,PRECIPITATION_periode,PRECIPITATION,Elevation Dimension,Ceiling Height Dimension,Distance Dimension,Wind Direction,Temperature_Day_max,Temperature_Day_min,temperatures_Night_max,temperatures_Night_min,Pressure_max,Pressure_min,Wind Speed_max,Wind Speed_min,Year,Month
0,1950-01-01,16.1,,1018.2,1.5,229.0,,45.0,22000.0,16000.0,SW,18.9,12.8,,,1024.3,1010.1,6.7,0.0,1950,January
1,1950-02-01,17.5,,1025.9,1.5,72.0,,45.0,22000.0,16000.0,E,20.0,12.2,,,1031.8,1018.9,4.1,0.0,1950,February
2,1950-03-01,19.45,,1020.0,1.5,136.0,,45.0,22000.0,16000.0,NE,22.2,17.2,,,1024.9,1015.4,6.2,0.5,1950,March
3,1950-04-01,21.65,,1013.5,2.6,82.0,,45.0,22000.0,16000.0,NE,26.1,18.9,,,1018.5,1010.3,4.1,1.0,1950,April
4,1950-05-01,20.55,,1013.55,5.15,24.0,,45.0,15500.0,16000.0,SW,22.2,20.0,,,1019.8,1012.1,6.2,2.6,1950,May
5,1950-06-01,21.65,,1017.1,1.0,28.0,,45.0,22000.0,16000.0,NE,22.8,20.0,,,1020.5,1014.4,4.1,0.0,1950,June
6,1950-07-01,25.0,,1015.9,4.1,6.0,991.0,45.0,22000.0,16000.0,NW,32.8,21.1,,,1019.5,1011.5,6.2,1.5,1950,July
7,1950-08-01,27.8,,1015.8,1.0,15.0,,45.0,22000.0,16000.0,N,28.9,20.0,,,1016.7,1013.5,2.6,1.0,1950,August
8,1950-09-01,23.35,,1017.1,2.6,69.0,991.0,45.0,22000.0,16000.0,NW,27.2,21.1,,,1019.8,1015.2,4.1,0.5,1950,September
9,1950-10-01,22.2,,1016.7,1.5,100.0,,45.0,22000.0,16000.0,NW,23.9,20.0,,,1021.4,1015.0,2.1,0.5,1950,October
10,1950-11-01,20.0,,1019.8,0.5,78.0,,45.0,22000.0,16000.0,NW,23.9,17.8,,,1022.1,1016.9,1.5,0.0,1950,November
11,1950-12-01,18.05,,1021.65,1.5,22.0,,45.0,15500.0,16000.0,NE,20.0,16.1,,,1023.7,1019.6,1.5,1.5,1950,December
12,1951-01-01,15.0,,1027.0,1.5,17.0,,45.0,22000.0,16000.0,NE,17.8,10.0,,,1029.3,1016.5,1.5,0.5,1951,January
13,1951-02-01,17.8,,1023.5,0.5,1.0,,45.0,22000.0,16000.0,NE,17.8,17.8,,,1023.5,1023.5,0.5,0.5,1951,February
14,1951-03-01,17.8,,1018.65,1.5,74.0,991.0,45.0,22000.0,16000.0,NE,25.0,13.9,,,1021.5,1011.8,6.2,0.0,1951,March
15,1951-04-01,20.0,,1015.7,1.5,69.0,,45.0,22000.0,16000.0,NE,22.8,16.1,,,1020.5,1010.2,6.2,0.0,1951,April
16,1951-05-01,21.1,,1017.2,1.5,163.0,,45.0,22000.0,16000.0,NE,26.1,18.9,,,1019.5,1014.2,6.2,1.5,1951,May
17,1951-06-01,23.35,,1014.1,1.8,62.0,,45.0,22000.0,16000.0,NW,30.0,20.0,,,1017.4,1012.3,6.2,1.5,1951,June
18,1951-07-01,22.2,,1017.5,2.6,3.0,,45.0,22000.0,16000.0,NW,25.0,21.1,,,1018.1,1016.0,2.6,1.5,1951,July
19,1951-08-01,27.2,,1017.8,1.5,15.0,,45.0,22000.0,16000.0,NE,27.8,20.0,,,1018.5,1015.4,2.6,1.0,1951,August
20,1951-09-01,22.2,,1017.7,1.5,99.0,,45.0,22000.0,16000.0,NE,31.1,18.9,,,1019.8,1010.9,2.6,0.0,1951,September
21,1951-10-01,22.8,,1017.7,1.5,37.0,,45.0,22000.0,16000.0,NE,26.1,17.8,,,1021.9,1016.2,5.1,1.0,1951,October
22,1951-11-01,18.9,,1020.6,1.8,180.0,,45.0,22000.0,16000.0,NE,22.8,16.1,,,1023.5,1005.0,6.7,0.0,1951,November
23,1951-12-01,16.1,,1021.8,0.75,126.0,,45.0,22000.0,16000.0,NE,17.2,12.8,,,1032.5,1013.9,2.6,0.0,1951,December
24,1952-01-01,13.9,,1023.5,1.5,38.0,,45.0,22000.0,16000.0,NE,16.1,12.2,,,1031.5,1021.9,2.1,0.0,1952,January
25,1952-02-01,15.0,,1020.6,1.5,146.0,,45.0,22000.0,16000.0,NE,17.8,12.2,,,1023.4,1012.2,3.1,0.0,1952,February
26,1952-03-01,18.9,,1014.7,1.5,108.0,,45.0,22000.0,16000.0,NE,27.8,16.1,,,1020.7,1004.5,8.2,0.0,1952,March
27,1952-04-01,18.9,,1015.6,1.5,24.0,,45.0,11375.0,16000.0,NE,20.0,13.9,,,1026.5,1010.3,1.5,1.5,1952,April
28,1952-05-01,20.55,,1016.55,5.1,46.0,,45.0,22000.0,16000.0,NW,22.8,17.8,,,1019.4,1014.1,6.2,2.6,1952,May
29,1952-06-01,22.2,,1019.9,8.2,1.0,,45.0,22000.0,16000.0,SW,22.2,22.2,,,1019.9,1019.9,8.2,8.2,1952,June
30,1952-08-01,32.2,,1015.4,5.1,1.0,,45.0,22000.0,16000.0,NE,32.2,32.2,,,1015.4,1015.4,5.1,5.1,1952,August
31,1952-09-01,20.0,,1017.5,5.1,1.0,,45.0,22000.0,16000.0,NNW,20.0,20.0,,,1017.5,1017.5,5.1,5.1,1952,September
32,1957-03-01,18.9,11.95,1018.3,5.7,197.0,0.5,45.0,22000.0,20000.0,E,22.2,17.2,17.8,8.9,1025.1,1007.9,11.3,2.1,1957,March
33,1957-04-01,18.9,12.8,1018.85,6.2,112.0,,45.0,22000.0,20000.0,ENE,27.2,17.2,12.8,12.8,1021.5,1014.4,8.7,2.6,1957,April
34,1957-05-01,20.0,13.9,1016.75,5.4,124.0,0.0,45.0,22000.0,18000.0,NNE,28.9,12.8,16.1,11.1,1021.1,1009.0,8.2,1.5,1957,May
35,1957-06-01,22.2,15.55,1016.55,6.7,144.0,,45.0,22000.0,20000.0,NW,27.2,18.9,17.2,13.9,1023.9,1014.3,9.8,2.1,1957,June
36,1957-07-01,26.4,,1014.9,7.2,60.0,,45.0,22000.0,25000.0,E,38.9,22.2,,,1016.4,1012.5,10.8,5.1,1957,July
37,1957-08-01,23.9,20.0,1016.15,6.2,118.0,495.5,45.0,22000.0,20000.0,WNW,27.8,20.0,20.0,20.0,1017.8,1013.9,8.2,4.1,1957,August
38,1957-09-01,23.9,20.0,1017.4,4.1,252.0,991.0,45.0,22000.0,17000.0,W,28.9,22.2,21.1,16.1,1021.2,1011.3,8.7,0.0,1957,September
39,1957-10-01,19.45,16.1,1016.2,3.1,223.0,991.0,45.0,12800.0,20000.0,W,26.1,17.2,18.9,12.8,1020.0,1012.7,6.2,0.0,1957,October
40,1957-11-01,17.8,8.9,1016.8,4.1,224.0,660.82,45.0,22000.0,20000.0,E,21.1,12.2,12.8,7.2,1022.5,1011.6,5.1,0.0,1957,November
41,1957-12-01,13.9,8.9,1018.6,2.6,298.0,868.12,45.0,12800.0,20000.0,E,15.0,12.2,13.9,6.1,1032.0,1004.9,3.1,2.1,1957,December
42,1958-01-01,17.8,,1017.9,0.0,113.0,991.0,45.0,3600.0,10000.0,SE,21.1,13.9,,,1020.1,1014.8,0.0,0.0,1958,January
43,1958-02-01,17.8,,1017.5,3.1,160.0,,45.0,3600.0,10000.0,E,23.9,15.0,,,1024.5,1013.2,5.1,3.1,1958,February
44,1958-03-01,18.9,,1018.65,5.1,94.0,,45.0,22000.0,10000.0,E,22.2,16.1,,,1024.9,1011.0,7.2,2.1,1958,March
45,1958-04-01,19.45,,1016.65,4.6,140.0,,45.0,22000.0,20000.0,ENE,26.1,17.2,,,1023.0,1007.2,8.2,4.1,1958,April
46,1958-05-01,21.1,,1018.4,5.1,318.0,,45.0,22000.0,20000.0,ENE,31.1,16.1,,,1023.1,1016.4,13.4,3.1,1958,May
47,1958-06-01,21.65,,1017.95,6.7,250.0,,45.0,22000.0,20000.0,NE,27.8,20.0,,,1021.6,1013.0,8.2,2.1,1958,June
48,1958-07-01,23.9,,1016.5,7.2,90.0,991.0,45.0,22000.0,20000.0,NE,27.8,20.0,,,1020.6,1012.1,9.3,2.1,1958,July
49,1958-08-01,23.35,,1016.5,6.2,148.0,,45.0,22000.0,20000.0,NW,40.0,22.2,,,1019.9,1011.2,10.3,2.1,1958,August
50,1958-09-01,23.9,,1016.75,6.2,160.0,,45.0,22000.0,20000.0,NW,31.1,22.2,,,1020.5,1012.2,8.2,3.1,1958,September
51,1958-10-01,23.35,,1017.05,5.1,200.0,,45.0,22000.0,20000.0,NE,35.0,17.8,,,1022.2,1014.5,10.8,3.1,1958,October
52,1958-11-01,17.8,,1016.6,4.1,345.0,,45.0,22000.0,20000.0,SW,23.9,16.1,,,1022.6,1012.6,8.2,0.0,1958,November
53,1958-12-01,17.2,,1017.9,4.1,503.0,,45.0,22000.0,15000.0,SW,20.0,12.8,,,1028.7,1006.2,10.3,0.0,1958,December
54,1959-01-01,16.1,11.1,1020.5,2.6,570.0,770.78,45.0,22000.0,20000.0,E,28.9,13.9,16.1,6.1,1027.1,1007.9,8.2,0.0,1959,January
55,1959-02-01,16.1,6.1,1023.5,4.1,356.0,810.9,45.0,22000.0,20000.0,W,17.8,10.0,12.8,3.9,1027.7,1013.2,7.2,0.0,1959,February
56,1959-03-01,17.8,11.1,1020.65,6.2,725.0,991.56,45.0,22000.0,20000.0,ENE,21.1,13.9,16.1,7.8,1027.9,1006.6,15.9,1.0,1959,March
57,1959-04-01,18.9,12.5,1016.3,6.2,530.0,932.71,45.0,22000.0,20000.0,ENE,30.0,16.1,27.2,7.8,1023.6,1011.0,12.3,1.0,1959,April
58,1959-05-01,20.0,15.0,1013.85,6.2,953.0,661.58,45.0,22000.0,15000.0,ENE,30.0,15.0,16.1,11.1,1022.4,1007.2,11.3,0.0,1959,May
59,1959-06-01,23.35,16.65,1018.6,7.2,71.0,0.0,45.0,22000.0,15000.0,ENE,27.8,15.0,21.1,12.8,1022.3,1014.3,11.3,0.0,1959,June
60,1959-07-01,23.9,20.0,1015.15,6.2,309.0,24.17,45.0,22000.0,15000.0,NW,30.0,21.1,22.8,16.1,1019.8,1012.5,9.3,0.0,1959,July
61,1959-08-01,25.0,20.0,1013.15,6.2,249.0,0.68,45.0,22000.0,20000.0,ENE,42.8,21.1,32.2,17.2,1018.8,1009.3,10.3,1.0,1959,August
62,1959-09-01,22.8,18.9,1015.6,5.1,338.0,0.0,45.0,22000.0,30000.0,ENE,28.9,17.2,28.9,12.2,1021.1,1008.1,11.3,1.0,1959,September
63,1959-10-01,22.2,16.1,1017.6,4.1,517.0,25.96,45.0,22000.0,30000.0,E,27.2,16.1,22.2,10.0,1022.4,1014.1,12.3,0.5,1959,October
64,1959-11-01,17.8,12.8,1018.65,5.1,591.0,80.63,45.0,22000.0,25000.0,E,21.1,15.0,26.1,7.8,1022.9,1008.0,11.3,0.0,1959,November
65,1959-12-01,15.55,12.2,1024.15,5.1,667.0,0.73,45.0,22000.0,25000.0,NE,17.8,13.9,16.1,6.1,1031.6,1016.0,10.3,0.0,1959,December
66,1960-01-01,15.0,11.1,1024.5,4.1,932.0,991.0,45.0,22000.0,25000.0,ENE,17.2,7.8,15.0,6.1,1029.3,1005.5,14.4,0.0,1960,January
67,1960-02-01,16.1,12.8,1019.0,4.1,504.0,,45.0,22000.0,20000.0,ENE,32.2,13.9,18.9,6.1,1030.5,1006.7,12.3,0.0,1960,February
68,1960-03-01,17.8,13.9,1017.2,5.1,1199.0,23.24,45.0,9000.0,28000.0,E,28.9,12.8,17.8,7.2,1025.3,1000.2,13.4,0.0,1960,March
69,1960-04-01,21.1,12.2,1015.9,5.1,83.0,51.57,45.0,22000.0,30000.0,E,25.0,15.0,16.1,7.8,1022.9,1007.4,9.3,0.0,1960,April
70,1960-05-01,21.1,16.1,1015.9,5.1,614.0,0.09,45.0,22000.0,20000.0,W,30.0,17.8,27.2,11.1,1020.0,1009.3,13.4,0.0,1960,May
71,1960-06-01,22.8,17.8,1016.2,6.2,509.0,0.52,45.0,9000.0,20000.0,ENE,28.9,17.2,20.0,16.1,1022.0,1009.9,12.3,0.0,1960,June
72,1960-07-01,25.0,20.0,1016.0,6.2,249.0,0.0,45.0,22000.0,20000.0,E,32.2,18.9,26.1,17.2,1020.6,1013.7,12.3,1.0,1960,July
73,1960-08-01,26.1,20.0,1016.0,6.2,385.0,0.0,45.0,22000.0,25000.0,E,35.0,16.1,27.8,17.2,1020.9,1011.9,12.3,0.0,1960,August
